name,layer,id,glottocode,year,map_name_full,tessellate,extrude,visibility,Family,Dialect,description
Djirringany,Yuin,175,sout2771,traditional,Files for Australian Language Locations,1,0,-1,,,
Nyulnyul,WesternNyulnyulan,176,nyul1247,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Kalaw Kawaw Ya,Western Torres,177,kala1377,traditional,Files for Australian Language Locations,1,0,-1,,,
Nimanburu,WesternNyulnyulan,178,nima1245,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Jawi,WesternNyulnyulan,179,djaw1238,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Bardi,WesternNyulnyulan,180,bard1255,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Jabirrjabirr,WesternNyulnyulan,181,dyab1238,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Umiida,Worrorric,182,umii1236,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Unggumi,Worrorric,183,ungg1243,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Yawijibaya,Worrorric,184,yawi1239,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Worrorra,Worrorric,185,worr1237,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Kwini,Wunambalic,186,kwin1241,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Unggarranggu,Worrorric,187,ungg1244,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Gamberre,Wunambalic,188,gamb1251,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Wunambal,Wunambalic,189,wuna1249,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Muluriji,Yalanjic,191,mulu1243,traditional,Files for Australian Language Locations,1,0,-1,,,
Jardwadjali,Western Kulin,192,west2443,traditional,Files for Australian Language Locations,1,0,-1,,y,
Tjapwurrung,Western Kulin,193,djab1234,traditional,Files for Australian Language Locations,1,0,-1,,y,
Djadjawurung,Western Kulin,194,djad1246,traditional,Files for Australian Language Locations,1,0,-1,,,
MathiMathi,Western Kulin,196,madh1244,traditional,Files for Australian Language Locations,1,0,-1,,,
Nari Nari,Western Kulin,197,nari1241,traditional,Files for Australian Language Locations,1,0,-1,,,
WathiWathi,Western Kulin,198,wadi1260,traditional,Files for Australian Language Locations,1,0,-1,,,"Wadi wadi (Not to be confused with Wodi Wodi, which is a Yuin-Kuri language)"
Warrnambool,Western Kulin,199,warr1257,traditional,Files for Australian Language Locations,1,0,-1,,,
Wotjobaluk,Western Kulin,200,wotj1234,traditional,Files for Australian Language Locations,1,0,-1,,,
Wemba Wemba,Western Kulin,201,wemb1241,traditional,Files for Australian Language Locations,1,0,-1,,,
Ngaliwuru,Western Mirndi,202,djam1255,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Yari-Yari,Western Kulin,203,yari1243,traditional,Files for Australian Language Locations,1,0,-1,,,
Jaminjung,Western Mirndi,204,djam1255,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Nungali,Western Mirndi,205,nung1291,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Kala Lagaw Ya,Western Torres,206,kala1377,traditional,Files for Australian Language Locations,1,0,-1,,,
Mabuiag,Western Torres,207,mabu1248,traditional,Files for Australian Language Locations,1,0,-1,,,
Magati Ke,Western Daly,208,mart1254,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Marramaninyshi,Western Daly,209,mari1417,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Marri Ammu,Western Daly,210,mare1239,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,y,
Emmi,Western Daly,211,mara1386,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,also known as Maranunggu
Marringarr,Western Daly,212,mari1419,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,y,
Giyug,Anson Bay,213,giyu1238,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Ngalia,Western Desert,214,pint1251,traditional,Files for Australian Language Locations,1,0,-1,,,
Warnman,Western Desert,215,wanm1242,traditional,Files for Australian Language Locations,1,0,-1,,,
Pitjantjatjara,Western Desert,216,pitj1243,traditional,Files for Australian Language Locations,1,0,-1,,,
Pintupi-Luritja,Western Desert,218,pint1250,traditional,Files for Australian Language Locations,1,0,-1,,,
Yankunytjatjara,Western Desert,219,pitj1243,traditional,Files for Australian Language Locations,1,0,-1,,y,
Kartujarra,Western Desert,220,kart1247,traditional,Files for Australian Language Locations,1,0,-1,,,
Ladji Ladji,Western Kulin,222,ladj1234,traditional,Files for Australian Language Locations,1,0,-1,,,
Putijarra,Western Desert,223,pudi1238,traditional,Files for Australian Language Locations,1,0,-1,,,
Yiman,East Maric,224,mand1417,traditional,Files for Australian Language Locations,1,0,-1,,y,
Yangga,East Maric,225,east2716,traditional,Files for Australian Language Locations,1,0,-1,,,
Ganulu,East Maric,226,ganu1234,traditional,Files for Australian Language Locations,1,0,-1,,,
Barada,East Maric,227,east2716,traditional,Files for Australian Language Locations,1,0,-1,,,
Yilba,East Maric,228,east2716,traditional,Files for Australian Language Locations,1,0,-1,,y,
Gangulu,East Maric,229,gang1268,traditional,Files for Australian Language Locations,1,0,-1,,,
Biri,East Maric,231,biri1256,traditional,Files for Australian Language Locations,1,0,-1,,y,
Kokatha,Eastern,232,koka1244,traditional,Files for Australian Language Locations,1,0,-1,,y,
Antakirinya,Eastern,233,anta1253,traditional,Files for Australian Language Locations,1,0,-1,,,
Matngele,Eastern Daly,234,madn1237,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Kamu,Eastern Daly,235,kamu1258,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Boonwurrung,Eastern Kulin,236,boon1243,traditional,Files for Australian Language Locations,1,0,-1,,,
Daungwurrung,Eastern Kulin,237,daun1234,traditional,Files for Australian Language Locations,1,0,-1,,y,
Ngarnka,Eastern Mirndi,238,ngar1283,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Woiwurrung,Eastern Kulin,239,woiw1237,traditional,Files for Australian Language Locations,1,0,-1,,,
Djirbal,Dyirbalic,240,dyir1250,traditional,Files for Australian Language Locations,1,0,-1,,,
Guynmal,Dharumbal,241,dhar1248,traditional,Files for Australian Language Locations,1,0,-1,,,"See breen 09, 6.6, issues with Tindale vs Roth. name is doubtful, can't find in current sources"
Warrgamay,Dyirbalic,242,warr1255,traditional,Files for Australian Language Locations,1,0,-1,,,
Nyawaygi,Dyirbalic,243,nyaw1247,traditional,Files for Australian Language Locations,1,0,-1,,,
Wubuy,East Arnhem,244,nung1290,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Wulguru,Dyirbalic,245,wulg1239,traditional,Files for Australian Language Locations,1,0,-1,,,
Ngandi,East Arnhem,246,ngan1295,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Anindilyakwa,East Arnhem,247,anin1240,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Wirri,East Maric,248,biri1256,traditional,Files for Australian Language Locations,1,0,-1,,y,
Garingbal,East Maric,250,east2716,traditional,Files for Australian Language Locations,1,0,-1,,,
Barna,East Maric,251,east2716,traditional,Files for Australian Language Locations,1,0,-1,,,
Yambina,East Maric,252,east2716,traditional,Files for Australian Language Locations,1,0,-1,,,
Wadjigu,East Maric,253,wadj1255,traditional,Files for Australian Language Locations,1,0,-1,,,
Gabalbara,East Maric,254,east2716,traditional,Files for Australian Language Locations,1,0,-1,,,
Wangan,East Maric,255,,traditional,Files for Australian Language Locations,1,0,-1,,,
Bunuba,Bunaban,256,buna1275,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
Gooniyandi,Bunaban,257,goon1238,traditional,Files for Australian Language Locations,1,0,-1,NonPNy,,
